Procesador,RAM,Tipo RAM,Almacenamiento,Graficos,Pantalla,Resolucion,Sistema Operativo,Bateria,Precio
Intel Core i5-1135G7,,,,,,,,,"549,00"
AMD Ryzen 7-8845HS,,,,,,,,,"1862,41"
Intel Core i7-14650HX,,,,,,,,,"1471,11"
Intel Core i7-12650H,,,,,,,,,"960,46"
