Procesador,RAM,Tipo RAM,Almacenamiento,Graficos,Pantalla,Resolucion,Sistema Operativo,Bateria,Precio,Chollo,Probabilidad_Chollo
AMD Ryzen 7-8840U,16.0,DDR5,1.0,AMD Radeon Graphics,16.0,1920x1200,Windows 11 Home,59.0,932.99,0,0.02
Intel Celeron-N100,8.0,DDR4,256.0,Intel® UHD Graphics,15.6,1920x1080,Windows 11 Home,41.0,408.99,0,0.16
Intel Core Ultra 7-155H,32.0,DDR5,1.0,Intel Arc Graphics,14.0,2880x1800,Windows 11 Pro,68.0,2034.99,1,0.67
Intel Core Ultra 7-155H,32.0,DDR5,512.0,Intel Arc Graphics,14.0,2880x1800,Windows 11 Home,68.0,1274.99,1,0.83
AMD Ryzen 5-5625U,8.0,DDR4,512.0,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,41.0,493.04,0,0.13
Intel Core Ultra 7-155H,32.0,DDR5,1.0,Intel Arc Graphics,16.0,2560x1600,Windows 11 Home,68.0,1764.99,1,0.64
Intel Core Ultra 7-155H,64.0,DDR5,1.0,,16.0,1920x1200,,76.0,1979.2,1,0.63
AMD Ryzen 5-5500U,8.0,DDR4,512.0,,15.6,1920x1080,,,599.0,0,0.13
AMD Ryzen 3-7320U,8.0,DDR5,256.0,AMD Radeon 610M,15.6,1920x1080,Windows 11 Home in S mode,41.0,466.99,0,0.04
Intel Core i7-1255U,16.0,DDR4,512.0,Intel Iris Xe Graphics,15.6,1920x1080,Windows 11 Home,41.0,711.99,1,1.0
Intel Core i5-8350U,16.0,DDR4,256.0,Intel® UHD Graphics 620,14.0,1920x1080,Windows 11 Pro,,587.68,1,0.92
Intel Core Ultra 7-155U,16.0,DDR5,512.0,Intel Graphics,16.0,1920x1200,Windows 11 Home,59.0,978.02,1,0.97
Intel Core Ultra 5-125H,16.0,DDR5,1.0,Intel Arc Graphics,14.0,2560x1600,Windows 11 Home,68.0,981.99,1,0.83
Intel Core Ultra 7-155U,32.0,DDR5,1.0,Intel Graphics,16.0,2880x1800,Windows 11 Home,68.0,1471.0,1,0.63
Intel Core Ultra 7-155H,16.0,DDR5,1.0,,14.0,1920x1080,Windows 11 Home,41.0,981.99,1,0.86
Intel Celeron-N100,8.0,DDR4,256.0,Intel® UHD Graphics,15.6,1920x1080,Windows 11 Home,41.0,391.99,0,0.16
Intel Core i5-,32.0,DDR5,,,16.0,1920x1200,,56.0,1612.99,1,0.52
