Procesador,RAM,Tipo RAM,Almacenamiento,Graficos,Pantalla,Resolucion,Sistema Operativo,Bateria,Precio
Intel Core i7-1255U,16,DDR4,512,Intel Iris Xe Graphics,15.6,1920x1080,Windows 11 Home,41,"711,99"
Intel Core i5-8350U,16,DDR4,256,Intel® UHD Graphics 620,14,1920x1080,Windows 11 Pro,,"587,68"
Intel Core Ultra 7-155U,16,DDR5,512,Intel Graphics,16,1920x1200,Windows 11 Home,59,"978,02"
Intel Core Ultra 5-125H,16,DDR5,1,Intel Arc Graphics,14,2560x1600,Windows 11 Home,68,"981,99"
Intel Core Ultra 7-155U,32,DDR5,1,Intel Graphics,16,2880x1800,Windows 11 Home,68,"1471,00"
Intel Core Ultra 7-155H,16,DDR5,1,,14,1920x1080,Windows 11 Home,41,"981,99"
Intel Celeron-N100,8,DDR4,256,Intel® UHD Graphics,15.6,1920x1080,Windows 11 Home,41,"391,99"
Intel Core i5-,32,DDR5,,,16,1920x1200,,56,"1612,99"
Intel Core i3-N305,8,DDR4,512,Intel® UHD Graphics,15.6,1920x1080,Windows 11 Home,41,"442,99"
Qualcomm-X1E-78-100,,,,,14,2240x1400,,59,"2028,00"
AMD Ryzen 7-7730U,16,DDR4,512,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,41,"613,00"
Intel Core Ultra 5-125H,16,DDR5,,,14,1920x1200,,56,"1493,99"
AMD Ryzen 7-8840HS,16,DDR5,1,AMD Radeon Graphics,16,2880x1800,Windows 11 Home,68,"1274,99"
Intel Core i3-N305,8,DDR4,256,Intel® UHD Graphics,15.6,1920x1080,Windows 11 Home,41,"489,99"
Intel Core i5-1235U,16,DDR4,512,Intel Iris Xe Graphics,15.6,1920x1080,FreeDOS,41,"551,99"
Qualcomm Snapdragon-X1E-78-100,16,DDR5,1,Qualcomm Adreno GPU,14,2240x1400,Windows 11 Home,59,"1274,99"
Intel Core i7-1255U,16,DDR4,512,Intel Iris Xe Graphics,15.6,1920x1080,Windows 11 Home,41,"661,99"
AMD Ryzen 5-5625U,16,DDR4,1000,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,41,"590,99"
AMD Ryzen 5-7520U,16,DDR5,512,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,41,"537,00"
Intel Core i5-1334U,16,DDR4,512,Intel Iris Xe Graphics,15.6,1920x1080,Windows 11 Pro,42,"999,23"
AMD Ryzen 5-7520U,8,DDR5,512,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,41,"540,00"
Intel Core i7-1255U,16,DDR4,512,Intel Iris Xe Graphics,15.6,1920x1080,FreeDOS,41,"630,99"
Intel Core Ultra 7-155H,32,DDR5,,,16,1920x1200,,86,"2637,99"
Intel Core Ultra 7-165H,32,DDR5,,,16,1920x1200,,86,"2974,00"
AMD Ryzen 7-7730U,16,DDR4,512,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,41,"608,99"
Intel Core i7-13650HX,32,DDR5,1,Intel® UHD Graphics,16,2560x1600,Windows 11 Home,99,"1679,00"
Intel Core i5-12450H,16,DDR4,512,Intel® UHD Graphics,15.6,1920x1080,No,52,"1020,08"
Intel Core Ultra 7-155H,32,DDR5,1,Intel Arc Graphics,14,2880x1800,Windows 11 Home,90,"1729,01"
Intel Core i5-13420H,16,DDR5,512,Intel® UHD Graphics,15.6,1920x1080,FreeDOS,53,"999,00"
Intel Core i7-13620H,16,DDR4,512,Intel® UHD Graphics,15.6,1920x1080,FreeDOS,52,"869,00"
Intel Core i5-12500H,16,DDR4,1,Intel Iris Xe Graphics,15.6,1920x1080,FreeDos,54,"949,00"
Intel Core i7-13620H,16,DDR5,1,Intel® UHD Graphics,15.6,1920x1080,FreeDOS,53,"1259,78"
Intel Core i7-13620H,16,DDR5,512,Intel® UHD Graphics,15.6,1920x1080,FreeDOS,53,"969,00"
Intel Core i3-1315U,8,DDR4,256,Intel® UHD Graphics,15.6,1920x1080,Windows 11 Pro,41,"610,99"
Intel Core i7-13620H,32,DDR5,1000,Intel® UHD Graphics,15.6,1920x1080,No,53,"1249,00"
Intel Core i7-14700HX,32,DDR5,1,Intel® UHD Graphics,16,2560x1600,Windows 11 Home,90,"1899,00"
Intel Core i7-14650HX,16,DDR5,1,Intel® UHD Graphics,16,2560x1600,Windows 11 Home,90,"1599,00"
Intel Core Ultra 7-155H,16,DDR5,1,Intel Arc Graphics,16,2560x1600,Windows 11 Home,99,"1729,01"
Intel Core i7-14650HX,16,DDR5,1,Intel® UHD Graphics,16,2560x1600,Windows 11 Home,99,"1679,00"
Intel Core i7-13700HX,32,DDR5,1000,Intel® UHD Graphics,17,2560x1600,Windows 11 Home,90,
Intel Core i5-13500H,16,DDR5,1,,15.6,1920x1080,No,54,"1019,00"
Intel Core i5-13420H,16,DDR5,1,Intel® UHD Graphics,15.6,1920x1080,No,53,"949,00"
Intel Core i7-13620H,16,DDR5,1,,14,2880x1800,Windows 11 Home,63,"1919,00"
Apple M-M4 Pro,24,,1,Apple GPU,14.2,3024x1964,macOS Sequoia,72,"2812,58"
Intel Core i7-14650HX,32,DDR5,1,Intel® UHD Graphics,16,2560x1600,Windows 11 Home,99,"1609,00"
Intel Core Ultra 7-155H,16,DDR5,1,Intel Arc Graphics,16,2880x1800,Windows 11 Home,76,"2611,99"
Apple M-M4 Max,36,,1,Apple GPU,16.2,3456x2234,macOS Sequoia,100,"3955,16"
Apple M-M3,8,,512,Apple GPU,13.6,2560x1664,macOS Sonoma,52,"1346,28"
Apple M-M3,24,,512,Apple GPU,13.6,2560x1664,macOS Sequoia,52,"1679,54"
Apple M-M4 Pro,24,,512,Apple GPU,14.2,3024x1964,macOS Sequoia,72,"2336,51"
Apple M-M2,8,,512,Apple GPU,13.6,2560x1664,macOS Monterey,52,"1260,59"
Apple M-M2,16,,256,Apple GPU,13.6,2560x1664,macOS Sonoma,52,"1017,61"
Apple M-M4 Max,36,,1,Apple GPU,14.2,3024x1964,macOS Sequoia,72,"3669,51"
Apple M-M3,8,,256,Apple GPU,23.5,4480x2520,macOS Sonoma,,"1564,95"
Apple M-M4,16,,512,Apple GPU,14.2,3024x1964,macOS Sequoia,72,"1827,15"
Apple M-M2,8,,512,Apple GPU,13.6,2560x1664,macOS Monterey,52,"1260,59"
Apple M-M3 Max,36,,1,Apple GPU,16.2,3456x2234,macOS Sonoma,100,"3863,68"
Apple M-M3,8,,512,Apple GPU,15.3,2880x1864,macOS Sonoma,66,"1641,59"
Apple M-M3,16,,512,Apple GPU,15.3,2880x1864,macOS Sonoma,66,"1746,19"
Apple M-M3,16,,512,Apple GPU,15.3,2880x1864,macOS Sonoma,66,"1746,19"
Apple M-M4 Max,48,,1,Apple GPU,16.2,3456x2234,macOS Sequoia,100,"4526,43"
Intel Core i7-12650H,16,DDR4,1,Intel® UHD Graphics,17.3,1920x1080,Windows 11 Home,,"1310,78"
Apple M-M4 Max,48,,1,Apple GPU,16.2,3456x2234,macOS Sequoia,100,"4553,33"
Apple M-M3,16,,256,Apple GPU,13.6,2560x1664,macOS Sequoia,52,"1241,54"
Apple M-M3,16,,256,Apple GPU,13.6,2560x1664,macOS Sequoia,52,"1248,90"
Apple M-M3,16,,256,Apple GPU,13.6,2560x1664,macOS Sequoia,52,"1241,54"
Apple M-M4 Pro,48,,512,Apple GPU,16.2,3456x2234,macOS Sequoia,100,"3250,58"
Apple M-M3,24,,512,Apple GPU,13.6,2560x1664,macOS Sequoia,52,"1679,54"
Intel Core i7-13620H,16,DDR5,1,Intel® UHD Graphics,15.6,1920x1080,FreeDOS,54,"1084,66"
Intel Core i7-13650HX,16,DDR5,1,Intel® UHD Graphics,16,2560x1600,FreeDOS,99,"1347,52"
Apple M-M3,16,,256,Apple GPU,15.3,2880x1864,macOS Sequoia,66,"1527,19"
Intel Core i7-13620H,16,DDR5,1,Intel® UHD Graphics,15.6,1920x1080,FreeDOS,54,"1015,83"
Apple M-M3,24,,512,Apple GPU,15.3,2880x1864,macOS Sequoia,66,"1965,16"
Apple M-M2,16,,256,Apple GPU,13.6,2560x1664,macOS Sonoma,52,"1017,61"
Apple M-M3,16,,256,Apple GPU,15.3,2880x1864,macOS Sequoia,66,"1527,19"
Apple M-M4 Pro,48,,512,Apple GPU,16.2,3456x2234,macOS Sequoia,100,"3269,89"
Apple M-M3,24,,512,Apple GPU,13.6,2560x1664,macOS Sequoia,52,"1679,54"
Apple M-M3,8,,256,Apple GPU,15.3,2880x1864,macOS Sonoma,66,"1412,94"
Apple M-M4 Max,36,,1,Apple GPU,14.2,3024x1964,macOS Sequoia,72,"3669,51"
Apple M-M4 Pro,24,,1,Apple GPU,14.2,3024x1964,macOS Sequoia,72,"2812,58"
Apple M-M4 Max,36,,1,Apple GPU,16.2,3456x2234,macOS Sequoia,100,"3955,16"
Apple M-M3,16,,256,Apple GPU,15.3,2880x1864,macOS Sequoia,66,"1527,19"
Intel Core i7-13700H,16,DDR5,512,,16,1920x1200,FreeDOS,54,"1145,35"
Intel Core i5-13420H,8,DDR4,512,Intel® UHD Graphics,14,1920x1080,FreeDos,38,"501,99"
AMD Ryzen 7-5700U,8,DDR4,512,AMD Radeon,15.6,1920x1080,Windows 10 Home en modo S,38,"698,99"
Intel Core i7-13700H,16,DDR5,512,Intel Iris Xe Graphics,14.5,2560x1600,Windows 11 Home,73,"1333,99"
Intel Core i7-1355U,16,DDR4,512,Intel Iris Xe Graphics,15.6,1920x1080,Windows 11 Home,38,"683,00"
AMD Ryzen 5-7520U,16,DDR5,512,AMD Radeon 610M,15.6,1920x1080,No,38,"469,00"
Intel Core i3-1115G4,8,DDR4,256,Intel® UHD Graphics,15.6,1920x1080,No,45,"258,99"
