Procesador,RAM,Tipo RAM,Almacenamiento,Graficos,Pantalla,Resolucion,Sistema Operativo,Bateria,Precio,Tipo,CPU_Generation,Quality_Score,Value_Score,es_chollo_pred,probabilidad_chollo
AMD Ryzen 7-7730U,16.0,DDR4,512.0,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,38.0,576.0,AMD,0,111.0,0.19270833333333334,0,0.02
Intel Core i7-13620H,16.0,DDR5,1.0,Intel® UHD Graphics,15.6,1920x1080,Windows 11 Home,60.0,1499.99,Intel,7,361.0,0.24066827112180747,1,0.92
Intel Core i3-1315U,8.0,DDR4,512.0,Intel® UHD Graphics,14.0,1920x1080,Windows 11 Home,38.0,563.99,Intel,3,258.6,0.4585187680632636,1,0.96
Intel Core i3-1215U,8.0,DDR4,256.0,Intel® UHD Graphics,15.6,1920x1080,No,38.0,371.0,Intel,3,207.4,0.5590296495956874,1,0.79
AMD Ryzen 7-7435HS,24.0,DDR5,1.0,No disponible,15.6,1920x1080,No,60.0,1100.99,AMD,0,13.399999999999999,0.012170864403854712,0,0.02
Intel Core Ultra 7-155H,32.0,DDR5,1.0,Intel Arc Graphics,16.0,2048x1280,Windows 11 Home,76.0,1314.99,Intel,15,767.4,0.5835785823466338,1,0.91
AMD Ryzen 5-7530U,16.0,DDR4,512.0,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,41.0,537.99,AMD,0,111.3,0.206881168794959,0,0.03
Intel Core i5-1334U,16.0,DDR5,512.0,Intel Iris Xe Graphics,15.6,1920x1080,FreeDOS,56.0,528.0,Intel,5,362.8,0.6871212121212121,1,0.99
AMD Ryzen 5-7520U,8.0,DDR5,256.0,AMD Radeon 610M,15.6,1920x1080,Windows 11 Home,38.0,551.0,AMD,0,57.4,0.10417422867513611,0,0.05
Intel Core i5-13420H,16.0,DDR5,1.0,Intel® UHD Graphics,16.0,1920x1200,Windows 11 Home,47.0,767.99,Intel,5,259.7,0.33815544473235326,1,0.91
Intel Core i5-1334U,8.0,DDR5,512.0,Intel Iris Xe Graphics,15.6,1920x1080,FreeDOS,56.0,475.0,Intel,5,360.4,0.7587368421052632,1,0.99
Intel Core 5-i5-1135G7,8.0,DDR4,512.0,No disponible,15.6,1920x1080,,45.0,329.99,Intel,0,109.30000000000001,0.3312221582472196,0,0.18
AMD Ryzen 7-7730U,16.0,DDR4,512.0,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,41.0,593.99,AMD,0,111.3,0.18737689186686643,0,0.0
Intel Core i5-1235U,16.0,DDR5,256.0,Intel Iris Xe Graphics,12.4,1536x1024,Windows 11 Pro,41.0,1302.99,Intel,5,310.1,0.23799108204974714,1,0.93
AMD Ryzen 7-5700U,16.0,DDR4,1.0,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,42.0,731.99,AMD,0,9.2,0.012568477711444145,0,0.0
Intel Core Ultra 7-155H,16.0,DDR5,512.0,Intel Arc Graphics,16.0,2560x1600,No,77.0,1136.99,Intel,15,864.9,0.7606927061803533,1,1.0
Intel Core i3-1215U,8.0,DDR4,512.0,Intel® UHD Graphics,15.6,1920x1080,No,38.0,441.0,Intel,3,258.6,0.5863945578231293,1,0.97
AMD Ryzen 7-5700U,16.0,DDR4,1.0,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,42.0,701.99,AMD,0,9.2,0.013105599794868871,0,0.0
Intel Core i7-13620H,16.0,DDR5,1.0,,14.0,2880x1800,Windows 11 Home,63.0,1098.99,Intel,7,361.3,0.3287564036069482,1,0.95
Intel Core i7-9850H,32.0,DDR4,1.0,Intel® UHD Graphics 630,15.6,1920x1080,Windows 10 Pro,56.0,1429.18,Intel,7,365.4,0.25567108411816564,1,0.88
Intel Core Ultra 5-125H,16.0,DDR5,512.0,Intel Arc Graphics,15.6,,Windows 11 Home,55.0,911.99,Intel,15,862.7,0.9459533547516968,1,0.98
Intel Core i5-12450HX,24.0,DDR5,512.0,Intel® UHD Graphics,15.6,1920x1080,No,60.0,901.99,Intel,5,365.6,0.4053260013969113,1,0.92
AMD Ryzen 5-7520U,8.0,DDR5,512.0,AMD Radeon 610M,15.6,1920x1080,Windows 11 Home,38.0,441.99,AMD,0,108.60000000000001,0.24570691644607345,0,0.06
AMD Ryzen 3-7320U,8.0,DDR5,256.0,AMD Radeon 610M,15.6,1920x1080,Windows 11 Home,38.0,372.99,AMD,0,57.4,0.1538915252419636,0,0.02
Intel Core i7-1255U,16.0,DDR5,1.0,Intel Iris Xe Graphics,16.0,1920x1080,Windows 11 Home,51.0,754.99,Intel,7,360.1,0.47695995973456606,1,0.95
Qualcomm Snapdragon-X1E-80-100,16.0,DDR5,256.0,Qualcomm Adreno GPU,15.0,2496x1664,Windows 11 Home,66.0,1530.0,Qualcomm,0,62.6,0.04091503267973856,0,0.0
Intel Core Ultra 7-155H,16.0,DDR5,512.0,Intel Arc Graphics,16.0,2560x1600,FreeDOS,77.0,1356.0,Intel,15,864.9,0.6378318584070797,1,1.0
AMD Ryzen 5-5500U,16.0,DDR4,512.0,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,38.0,635.0,AMD,0,111.0,0.17480314960629922,0,0.02
Intel Core Ultra 7-155H,32.0,DDR5,1.0,Intel Arc Graphics,15.6,1920x1080,Windows 11 Home,72.0,1527.99,Intel,15,767.0,0.5019666359073031,1,0.88
Intel Core Ultra 7-155U,32.0,DDR5,1.0,Intel Graphics,14.0,1920x1200,Windows 11 Pro,58.0,2298.0,Intel,15,765.6,0.3331592689295039,1,0.85
Qualcomm Snapdragon-X1E-80-100,16.0,DDR5,512.0,Qualcomm Adreno GPU,15.0,2496x1664,Windows 11 Home,66.0,1734.99,Qualcomm,0,113.8,0.06559115614499218,0,0.0
AMD Ryzen 7-5700U,8.0,DDR4,512.0,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,38.0,543.04,AMD,0,108.60000000000001,0.19998526812021217,0,0.05
Intel Core i7-1255U,8.0,DDR4,512.0,Intel Iris Xe Graphics,15.6,1920x1080,FreeDOS,42.0,564.02,Intel,7,459.0,0.8138009290450694,1,1.0
Intel Core i7-1255U,8.0,DDR4,512.0,Intel Iris Xe Graphics,15.6,1920x1080,Windows 11 Home,38.0,630.0,Intel,7,458.6,0.727936507936508,1,1.0
Intel Core i5-1130G7,8.0,DDR4,256.0,Intel Iris Xe Graphics,14.0,1920x1080,ChromeOS,54.0,929.99,Intel,5,309.0,0.3322616372219056,1,0.9
Intel Core i5-13420H,16.0,DDR5,1.0,Intel® UHD Graphics,15.6,1920x1080,Windows 11 Home,47.0,739.0,Intel,5,259.7,0.3514208389715832,1,0.91
AMD Ryzen 5-5500U,8.0,DDR4,512.0,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,38.0,562.99,AMD,0,108.60000000000001,0.1928986305262971,0,0.05
Intel Core i5-12450H,16.0,DDR5,512.0,Intel® UHD Graphics,15.6,1920x1080,Windows 11 Home,47.0,652.0,Intel,5,361.9,0.5550613496932515,1,1.0
Intel Core i5-13420H,16.0,DDR4,512.0,Intel Iris Xe Graphics,17.3,1920x1080,Windows 11 Home,45.0,773.0,Intel,5,361.7,0.46791720569210865,1,1.0
Intel Core i3-1315U,8.0,DDR4,256.0,Intel® UHD Graphics,17.3,1920x1080,Windows 11 Home,45.0,601.99,Intel,3,208.1,0.3456868054286616,1,0.7
Intel Core Ultra 7-155H,32.0,DDR5,2.0,Intel Arc Graphics,16.0,2560x1600,Windows 11 Home,77.0,1851.0,Intel,15,767.7,0.4147487844408428,1,0.85
Intel Core i3-1315U,8.0,DDR4,512.0,Intel® UHD Graphics,15.6,1920x1080,No,38.0,380.99,Intel,3,258.6,0.6787579726502009,1,0.97
Intel Core Ultra 7-155H,16.0,DDR5,512.0,Intel Arc Graphics,15.6,1920x1080,Windows 11 Home,72.0,1125.0,Intel,15,864.4,0.7683555555555556,1,1.0
Intel Core Ultra 7-155H,16.0,DDR5,1.0,Intel Arc Graphics,17.0,2560x1600,Windows 11 Home,77.0,1728.99,Intel,15,762.7,0.4411245871867391,1,0.89
Intel Core Ultra 7-155U,16.0,DDR5,1.0,Intel Graphics,14.0,1920x1200,Windows 11 Pro,57.0,1575.99,Intel,15,760.7,0.48268072766959186,1,0.92
AMD 3000-3020E,8.0,DDR4,256.0,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,42.0,538.99,AMD,0,57.800000000000004,0.10723761108740422,0,0.02
Intel Core Ultra 7-155U,16.0,DDR5,512.0,Intel Graphics,16.0,1920x1200,Windows 11 Pro,57.0,1558.0,Intel,15,862.9,0.5538510911424903,1,0.95
Intel Core i9-14900HX,32.0,DDR5,1.0,Intel® UHD Graphics,16.0,2560x1600,Windows 11 Home,95.0,3906.33,Intel,9,469.3,0.12013833956680568,1,0.81
Intel Core i7-11700K,32.0,DDR4,1000.0,Intel UHD Graphics 750,,,Windows 10 Home,56.0,2943.0,Intel,7,565.2,0.1920489296636086,1,0.82
Intel Core Ultra 7-155H,16.0,DDR5,512.0,Intel Arc Graphics,17.0,2560x1600,Windows 11 Home,77.0,1378.0,Intel,15,864.9,0.6276487663280116,1,0.99
Intel Core i5-1235U,8.0,DDR5,256.0,Intel Iris Xe Graphics,12.4,1536x1024,Windows 11 Home,41.0,1134.99,Intel,5,307.7,0.27110371016484724,1,0.94
Intel Core i5-1235U,8.0,DDR4,512.0,Intel Iris Xe Graphics,15.6,1920x1080,Windows 11 Pro,40.0,540.0,Intel,5,358.8,0.6644444444444445,1,1.0
Intel Core Ultra 5-125U,16.0,DDR5,512.0,Intel Graphics,13.3,1920x1200,Windows 11 Pro,54.0,1826.99,Intel,15,862.6,0.47214270466723957,1,0.89
Intel Core 5-120U,16.0,DDR5,512.0,Intel Graphics,14.0,1920x1200,Windows 11 Pro,53.0,943.99,Intel,0,112.5,0.11917499126050064,0,0.13
Qualcomm Snapdragon-X1P-42-100,16.0,DDR5,1.0,Qualcomm Adreno GPU,14.0,1920x1200,Windows 11 Home,57.0,1111.99,Qualcomm,0,10.7,0.009622388690545778,0,0.01
AMD Ryzen 7-7730U,8.0,DDR4,512.0,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,38.0,548.0,AMD,0,108.60000000000001,0.19817518248175184,0,0.05
AMD Ryzen 5 PRO-7530U,16.0,DDR4,512.0,AMD Radeon Graphics,13.3,1920x1200,Windows 11 Pro,46.0,1086.99,AMD,0,111.8,0.10285283213277031,0,0.0
AMD Ryzen AI 9-365,32.0,DDR5,1.0,AMD Radeon 880M,14.5,2880x1800,Windows 11 Home,73.0,1908.99,AMD,0,17.1,0.008957616331148933,0,0.0
AMD Ryzen 5-7535U,16.0,DDR5,512.0,AMD Radeon 660M,14.0,1920x1200,Windows 11 Pro,57.0,1083.99,AMD,0,112.9,0.104152252327051,0,0.01
Intel Core i7-1255U,8.0,DDR4,512.0,Intel® UHD Graphics,15.6,1920x1080,Windows 11 Home,48.0,616.0,Intel,7,459.6,0.7461038961038962,1,0.99
Intel Core i5-1335U,16.0,DDR4,512.0,Intel Iris Xe Graphics,14.0,1920x1200,Windows 11 Pro,50.0,770.99,Intel,5,362.2,0.4697856003320406,1,0.99
Intel Core i3 N-series-i3-N305,8.0,DDR5,128.0,Intel® UHD Graphics,14.0,1920x1080,ChromeOS,56.0,624.99,Intel,3,183.6,0.29376470023520374,1,0.6
AMD Ryzen AI 7 PRO-360,32.0,DDR5,512.0,AMD Radeon 880M,14.0,1920x1200,Windows 11 Pro,58.0,2158.99,AMD,0,117.8,0.05456255008128801,0,0.0
Intel Core Ultra 7-155U,16.0,DDR5,512.0,Intel Graphics,14.0,1920x1200,Windows 11 Pro,57.0,2830.0,Intel,15,862.9,0.30491166077738513,1,0.91
Intel Core i7-13700H,16.0,DDR5,1.0,Intel Iris Xe Graphics,16.0,3840x2400,Windows 11 Home,88.0,1510.99,Intel,7,363.8,0.24076929695100563,1,0.9
AMD Ryzen 7-5825C,16.0,DDR4,256.0,AMD Radeon Graphics,14.0,1920x1080,ChromeOS,56.0,962.0,AMD,0,61.6,0.06403326403326404,0,0.01
Intel Core i5-1135G7,8.0,DDR4,128.0,Intel Iris Xe Graphics,15.6,1920x1080,ChromeOS,56.0,780.99,Intel,5,283.6,0.3631288492810408,1,0.9
Intel Core i5-1340P,16.0,DDR5,512.0,Intel Iris Xe Graphics,15.6,1920x1080,No,80.0,1001.0,Intel,5,365.2,0.3648351648351648,1,0.99
Intel Core Ultra 7-155U,16.0,DDR5,512.0,Intel Graphics,14.0,1920x1200,Windows 11 Pro,57.0,1553.99,Intel,15,862.9,0.5552802785088707,1,0.95
Intel Core Ultra 5-125U,8.0,DDR5,256.0,Intel Graphics,14.0,1920x1200,Windows 11 Pro,45.0,835.99,Intel,15,808.1,0.9666383569181449,1,0.97
Intel Core Ultra 7-155H,32.0,DDR5,1.0,Intel Arc Graphics,16.0,1920x1200,Windows 11 Pro,75.0,2324.0,Intel,15,767.3,0.33016351118760756,1,0.85
Intel Core i7-12650HX,16.0,DDR5,512.0,Intel® UHD Graphics,15.6,1920x1080,Windows 11 Home,57.0,1100.99,Intel,7,462.9,0.4204397860107721,1,1.0
Intel Core i7-8750H,32.0,DDR4,1.0,Intel® UHD Graphics 630,15.6,1920x1080,Windows 10 Pro,56.0,1142.86,Intel,7,365.4,0.3197242006894983,1,0.91
Intel Core i5-135U,16.0,DDR5,512.0,Intel Arc Graphics,13.5,2256x1504,Windows 11,56.0,1663.99,Intel,5,362.8,0.21803015643122856,1,0.91
Intel Core Ultra 5-125U,16.0,DDR5,512.0,Intel Graphics,14.0,1920x1200,Windows 11 Pro,58.0,1890.0,Intel,15,863.0,0.45661375661375664,1,0.92
Qualcomm Snapdragon-X1P-42-100,32.0,DDR5,1.0,Qualcomm Adreno GPU,14.0,1920x1200,Windows 11 Home,57.0,1333.99,Qualcomm,0,15.5,0.01161927750582838,0,0.02
AMD Ryzen 5-5625U,16.0,DDR4,512.0,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,42.0,596.99,AMD,0,111.4,0.18660279066651034,0,0.0
Intel Core Ultra 7-155U,32.0,DDR5,1.0,Intel Graphics,14.0,1920x1200,Windows 11 Pro,57.0,2836.0,Intel,15,765.5,0.26992242595204513,1,0.85
Qualcomm Snapdragon-X1E-80-100,16.0,DDR5,512.0,,13.0,2880x1920,Windows 11 Pro,53.0,1837.99,Qualcomm,0,112.5,0.06120816761788693,0,0.0
Intel Core i7-13620H,16.0,DDR5,1.0,Intel® UHD Graphics,16.0,1920x1200,FreeDOS,54.0,1117.46,Intel,7,360.4,0.3225171370787321,1,0.93
Intel Core i7-12650HX,16.0,DDR5,512.0,Intel® UHD Graphics,15.6,1920x1080,Windows 11 Home,57.0,1112.99,Intel,7,462.9,0.4159067017673114,1,1.0
Intel Core Ultra 7-155H,16.0,DDR5,1.0,,17.0,2560x1600,Windows 11 Home,77.0,1458.99,Intel,15,762.7,0.5227588948519182,1,0.94
AMD Ryzen 7-7435HS,24.0,DDR5,1.0,No disponible,15.6,1920x1080,No,60.0,1001.0,AMD,0,13.399999999999999,0.013386613386613386,0,0.02
Qualcomm Snapdragon-X1E-80-100,16.0,DDR5,512.0,Qualcomm Adreno GPU,13.8,2304x1536,Windows 11 Home,54.0,1558.0,Qualcomm,0,112.60000000000001,0.07227214377406932,0,0.0
Intel Core i5-12450H,16.0,DDR4,512.0,Intel® UHD Graphics,16.0,1920x1200,No,70.0,1099.0,Intel,5,364.2,0.3313921747042766,1,0.99
AMD Ryzen 5-7520U,16.0,DDR5,512.0,AMD Radeon 610M,15.6,1920x1080,Windows 11 Home,42.0,499.0,AMD,0,111.4,0.22324649298597196,0,0.03
Qualcomm Snapdragon-X1E-78-100,32.0,DDR5,1.0,Qualcomm Adreno GPU,15.6,2880x1620,Windows 11 Home,70.0,1399.0,Qualcomm,0,16.799999999999997,0.01200857755539671,0,0.01
AMD Ryzen 5-7535U,16.0,DDR5,512.0,AMD Radeon 660M,15.6,2880x1620,Windows 11 Home,67.0,1199.0,AMD,0,113.9,0.09499582985821518,0,0.01
Intel Core i5-1135G7,8.0,DDR4,256.0,Intel Iris Xe Graphics,15.6,1920x1080,Windows 11 Home,56.0,677.0,Intel,5,309.2,0.4567208271787297,1,0.93
Intel Core i7-1255U,16.0,DDR4,512.0,Intel Iris Xe Graphics,15.6,1920x1080,Windows 11 Pro,48.0,852.0,Intel,7,462.0,0.5422535211267606,1,0.99
Intel Core i7-1255U,8.0,DDR4,512.0,Intel Iris Xe Graphics,15.6,1920x1080,No,38.0,782.99,Intel,7,458.6,0.5857035211177666,1,1.0
Intel Core Ultra 9-185H,32.0,DDR5,2.0,Intel Arc Graphics,14.0,2880x1800,Windows 11 Home,75.0,2599.0,Intel,15,767.5,0.29530588687956905,1,0.84
AMD Ryzen 5-7520U,8.0,DDR5,512.0,AMD Radeon 610M,15.6,1920x1080,Windows 11 Home,42.0,599.0,AMD,0,109.00000000000001,0.18196994991652757,0,0.01
AMD Ryzen AI 9 HX-370,32.0,DDR5,1.0,AMD Radeon 890M,13.3,2880x1800,Windows 11 Home,73.0,2199.0,AMD,0,17.1,0.007776261937244203,0,0.0
Intel Core i5-1340P,16.0,DDR5,512.0,Intel Iris Xe Graphics,15.0,1920x1080,Windows 11 Pro,9360.0,1219.99,Intel,5,1293.2,1.0600086885958082,1,0.99
